WBAN,Name,State,Location,Latitude,Longitude,StationHeight,Barometer,TimeZone
13987,JOPLIN,MO,JOPLIN REGIONAL AIRPORT,37.1466,-94.5022,300.23,33355.94,-6
13988,KANSAS CITY,MO,C.R. WHEELER DOWNTOWN ARPT,39.1208,-94.5969,228.6,25364.06,-6
13989,EMPORIA,KS,EMPORIA MUNICIPAL AIRPORT,38.32917,-96.19471999999999,367.59,40907.59,-6
13993,ST JOSEPH,MO,ROSECRANS MEMORIAL AIRPORT,39.7736,-94.9233,249.33,28039.31,-6
13994,ST LOUIS,MO,LAMBERT-ST LOUIS INTERNATIONAL AP,38.7525,-90.3736,216.41,24043.37,-6
13995,SPRINGFIELD,MO,SPRINGFIELD-BRANSON REGIONAL AIRPORT,37.2397,-93.3897,387.1,43345.79,-6
13996,TOPEKA,KS,PHILIP BILLARD MUNICIPAL AIRPORT,39.0725,-95.6261,269.75,29901.82,-6
13997,ROLLA/VICHY,MO,ROLLA NATIONAL AIRPORT,38.13111,-91.76833,346.56,38164.62,-6
13999,CLINTON,OK,CLINTON REGIONAL AIRPORT,35.538270000000004,-98.93278000000001,492.25,0.0,-6
14604,PRESQUE ISLE,ME,NERN MAINE RGNL ARPT AT PRESQUE IS AIRPORT,46.68333,-68.05,162.76,,-5
14605,AUGUSTA,ME,AUGUSTA STATE AIRPORT,44.3155,-69.7972,109.73,12258.73,-5
14606,BANGOR,ME,BANGOR INTERNATIONAL ARPT,44.7978,-68.8185,58.52,6671.19,-5
14607,CARIBOU,ME,CARIBOU MUNICIPAL AIRPORT,46.8705,-68.0173,190.2,21198.8,-5
14609,HOULTON,ME,INTERNATIONAL AIRPORT,46.1236,-67.7928,145.08,16796.49,-5
14610,MILLINOCKET,ME,MILLINOCKET MUNICIPAL ARPT,45.6477,-68.6925,122.53,13816.47,-5
14611,BRUNSWICK,ME,NAVAL AIR STATION,43.9,-69.93333,22.86,2844.57,-5
14615,WATERVILLE,ME,WATERVILLE ROBERT LAFLEUR ARPT,44.53333,-69.66667,101.5,,-5
14616,BAR HARBOR,ME,HANCOCK CO-BAR HARBOR ARPT,44.45,-68.36667,25.91,,-5
14702,BEDFORD,MA,LAURENCE G HANSCOM FLD APT,42.47,-71.28944,40.54,4368.44,-5
14703,SPRINGFIELD/CHICOPEE,MA,WESTOVER AFB/METROPOLITAN AIRPORT,42.2,-72.53333,74.68,0.0,-5
14704,FALMOUTH,MA,OTIS ANGB AIRPORT,41.65,-70.51666999999999,40.23,0.0,-5
14706,WRIGHTSTOWN,NJ,MCGUIRE AFB AIRPORT,40.01667,-74.6,40.54,0.0,-5
14707,GROTON NEW LONDON,CT,GROTON-NEW LONDON AIRPORT,41.3275,-72.04944,3.05,812.73,-5
14710,MANCHESTER,NH,MANCHESTER AIRPORT,42.93333,-71.43833000000001,70.71,9109.39,-5
14711,HARRISBURG,PA,HARRISBURG INTERNATIONAL AIRPORT,40.1962,-76.7724,95.1,10633.26,-5
14712,READING,PA,RDNG RGNL/C A SPAATZ FD AP,40.36667,-75.96667,107.59,12258.73,-5
